date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:49	10693/10693	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:48%20GMT	http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/land/	C:/My%20Web%20Sites/deploy/localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/land/index.html	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
13:59:50	2309/2309	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Nov%202017%2005:59:49%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F%25e8%2581%2594%25e7%25b3%25bb%2F	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embedd994.json	(from http://localhost/wp/%e8%81%94%e7%b3%bb/)
13:59:50	10360/10360	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:49%20GMT	http://localhost/wp/daermao/	C:/My%20Web%20Sites/deploy/localhost/wp/daermao/index.html	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
13:59:50	10306/10306	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:49%20GMT	http://localhost/wp/sead/	C:/My%20Web%20Sites/deploy/localhost/wp/sead/index.html	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
13:59:50	10351/10351	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:49%20GMT	http://localhost/wp/sead2/	C:/My%20Web%20Sites/deploy/localhost/wp/sead2/index.html	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/)
13:59:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202017%2005:59:50%20GMT	http://localhost/wp/?p=9	C:/My%20Web%20Sites/deploy/localhost/wp/indexb5fb.html	(from http://localhost/wp/%e8%81%94%e7%b3%bb/)
13:59:50	2453/2453	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2005:59:50%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F%25e8%2581%2594%25e7%25b3%25bb%2F&format=xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embedc409	(from http://localhost/wp/%e8%81%94%e7%b3%bb/)
13:59:52	98104/98104	---MCZ	200	added ('OK')	text/css	etag:4.9	http://localhost/wp/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9	C:/My%20Web%20Sites/deploy/localhost/wp/wp-admin/load-styles4b7a.css	(from http://localhost/wp/wp-login.php)
13:59:52	1959/1959	---M--	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:51%20GMT	http://localhost/wp/wp-login.php?action=lostpassword	C:/My%20Web%20Sites/deploy/localhost/wp/wp-loginc2b6.html	(from http://localhost/wp/wp-login.php)
13:59:53	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2025%20Nov%202017%2005:59:52%20GMT	http://localhost/wp/wp-admin/	C:/My%20Web%20Sites/deploy/localhost/wp/wp-admin/index.html	(from http://localhost/wp/wp-login.php)
13:59:53	12308/12308	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:50%20GMT	http://localhost/wp/2017/11/19/hello-world/	C:/My%20Web%20Sites/deploy/localhost/wp/2017/11/19/hello-world/index.html	(from http://localhost/wp/2017/11/)
13:59:53	8497/8497	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:51%20GMT	http://localhost/wp/author/shanliang/	C:/My%20Web%20Sites/deploy/localhost/wp/author/shanliang/index.html	(from http://localhost/wp/2017/11/)
13:59:53	8398/8398	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:52%20GMT	http://localhost/wp/category/uncategorized/	C:/My%20Web%20Sites/deploy/localhost/wp/category/uncategorized/index.html	(from http://localhost/wp/2017/11/)
13:59:53	2460/2460	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Nov%202017%2005:59:53%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F%25e4%25ba%25a7%25e5%2593%2581%25e5%25b1%2595%25e7%25a4%25ba%2Fland%2F	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embedfcdf.json	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/land/)
13:59:53	757/757	---M--	200	added ('OK')	application/rss+xml	etag:%22c5dabd90710a6111393995250612ab5f%22	http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/land/feed/	C:/My%20Web%20Sites/deploy/localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/land/feed/index.html	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/land/)
13:59:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202017%2005:59:53%20GMT	http://localhost/wp/?p=47	C:/My%20Web%20Sites/deploy/localhost/wp/indexcb30.html	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/land/)
13:59:54	2627/2627	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2005:59:53%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F%25e4%25ba%25a7%25e5%2593%2581%25e5%25b1%2595%25e7%25a4%25ba%2Fland%2F&format=xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embed321e	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/land/)
13:59:54	2402/2402	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Nov%202017%2005:59:54%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2Fdaermao%2F	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embedf00c.json	(from http://localhost/wp/daermao/)
13:59:54	744/744	---M--	200	added ('OK')	application/rss+xml	etag:%22c5dabd90710a6111393995250612ab5f%22	http://localhost/wp/feed/?attachment_id=43	C:/My%20Web%20Sites/deploy/localhost/wp/feed/indexc4fb.html	(from http://localhost/wp/daermao/)
13:59:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202017%2005:59:54%20GMT	http://localhost/wp/?p=43	C:/My%20Web%20Sites/deploy/localhost/wp/index4170.html	(from http://localhost/wp/daermao/)
13:59:55	2571/2571	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2005:59:55%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2Fdaermao%2F&format=xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embed28fa	(from http://localhost/wp/daermao/)
13:59:56	10268/10268	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:55%20GMT	http://localhost/wp/daermao2/	C:/My%20Web%20Sites/deploy/localhost/wp/daermao2/index.html	(from http://localhost/wp/daermao/)
13:59:56	10338/10338	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:55%20GMT	http://localhost/wp/banner/	C:/My%20Web%20Sites/deploy/localhost/wp/banner/index.html	(from http://localhost/wp/daermao/)
13:59:57	2384/2384	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Nov%202017%2005:59:56%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2Fsead%2F	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embed5043.json	(from http://localhost/wp/sead/)
13:59:57	738/738	---M--	200	added ('OK')	application/rss+xml	etag:%22c5dabd90710a6111393995250612ab5f%22	http://localhost/wp/feed/?attachment_id=48	C:/My%20Web%20Sites/deploy/localhost/wp/feed/index7335.html	(from http://localhost/wp/sead/)
13:59:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202017%2005:59:57%20GMT	http://localhost/wp/?p=48	C:/My%20Web%20Sites/deploy/localhost/wp/index94b0.html	(from http://localhost/wp/sead/)
13:59:58	2553/2553	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2005:59:57%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2Fsead%2F&format=xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embed9be3	(from http://localhost/wp/sead/)
13:59:59	10334/10334	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2005:59:58%20GMT	http://localhost/wp/daermao3/	C:/My%20Web%20Sites/deploy/localhost/wp/daermao3/index.html	(from http://localhost/wp/sead/)
